work	year	book	chapter	unigram_perplexity_orig	bigram_perplexity_orig	mdl_over_dl_orig	wc_orig	type_token_ratio_orig	unigram_perplexity_norm	bigram_perplexity_norm	mdl_over_dl_norm	wc_norm	type_token_ratio_norm
Müncheni kódex, 1466	1466	Lk	6	286.5154495113753	2.4332313552667784	0.49297803384947786	798	0.5977443609022557	207.6333027039811	3.349071692033604	0.4416491963661775	840	0.5011904761904762
Müncheni kódex, 1466	1466	Lk	7	295.92614237755953	2.4732964068282457	0.502424133596696	823	0.5868772782503038	222.04392717057644	3.229481175303395	0.45004344048653344	846	0.5236406619385343
Müncheni kódex, 1466	1466	Lk	8	308.9009527234761	2.8866983989921415	0.49633178619553825	997	0.5667001003009027	208.765422660025	4.225553121382457	0.4419584483510097	1055	0.47014218009478675
Müncheni kódex, 1466	1466	Lk	9	396.4055748051638	2.404679980464169	0.5186609686609687	1026	0.615009746588694	245.04991045424055	3.853430336183405	0.44003802797772645	1093	0.4986276303751144
Müncheni kódex, 1466	1466	Lk	10	313.3828107355434	1.9482626815237452	0.5324477351916377	658	0.6702127659574468	208.90225681136724	2.9274355020734952	0.4660699417152373	698	0.5472779369627507
Müncheni kódex, 1466	1466	Lk	11	343.3219079193469	2.4803310987611584	0.5057872205485968	905	0.6099447513812155	253.47958181249035	3.1978444351392716	0.44470260223048325	923	0.5135427952329361
Müncheni kódex, 1466	1466	Lk	12	344.9028322937437	2.4167189372348963	0.5084559974945193	924	0.6071428571428571	247.48075957773858	3.1304597783335737	0.44302059496567503	949	0.5205479452054794
Müncheni kódex, 1466	1466	Lk	13	282.8185351110973	1.846498148797453	0.5381546134663342	561	0.6755793226381461	193.83577395962055	2.7028310093369083	0.4766674810652333	581	0.5611015490533563
Müncheni kódex, 1466	1466	Lk	14	239.14525428993053	2.0887978386613084	0.5392932489451476	563	0.6412078152753108	172.97093471412148	2.7417390348482793	0.4671325051759834	577	0.5389948006932409
Müncheni kódex, 1466	1466	Lk	15	220.88452013050775	2.1262500752757414	0.5269733106189665	536	0.6119402985074627	154.39232160524548	2.9159430682022673	0.46488294314381273	546	0.5311355311355311
Müncheni kódex, 1466	1466	Lk	16	217.32836433847075	2.26660501091289	0.5372626806460754	527	0.6204933586337761	169.65191058533344	2.829762175144875	0.48349514563106794	543	0.5488029465930019
Müncheni kódex, 1466	1466	Lk	17	245.01823603554325	1.9080700898295428	0.525807341981783	518	0.6544401544401545	176.19466388704618	2.5377868220958195	0.4522479382814578	542	0.5535055350553506
Müncheni kódex, 1466	1466	Lk	18	263.17763913868316	2.136613292105354	0.5106728538283063	630	0.6142857142857143	199.4219113255351	2.694630196269471	0.45766954938552573	632	0.5411392405063291
Müncheni kódex, 1466	1466	Lk	19	265.65751663464647	2.458432699372583	0.525354533734422	709	0.5923836389280677	203.6956457019033	2.9898902836324734	0.45888088172954644	716	0.5237430167597765
Müncheni kódex, 1466	1466	Lk	20	250.34510536987918	2.3719335615606987	0.5235913879981676	641	0.6224648985959438	191.752343066691	3.053927858393385	0.46407251824010615	666	0.5345345345345346
Müncheni kódex, 1466	1466	Lk	21	235.15461185039962	1.9908571226936893	0.552689961175818	488	0.680327868852459	182.56397501460174	2.6850159926917256	0.48881193393713374	516	0.6007751937984496
Müncheni kódex, 1466	1466	Lk	22	313.5325020674514	2.8020517298109358	0.4993217784476262	1002	0.5508982035928144	232.34449093954288	3.4913561164437845	0.4369075829383886	1009	0.47373637264618434
Müncheni kódex, 1466	1466	Lk	23	258.89274418154434	2.646457693542744	0.5141071766710851	791	0.5815423514538559	195.4733970320126	3.3920244889981364	0.45320014798372177	811	0.5067817509247842
Müncheni kódex, 1466	1466	Lk	24	288.88505076266244	2.143899255896175	0.5201225740551583	694	0.6210374639769453	200.61244181187448	3.077682664611527	0.4578623835018838	724	0.5400552486187845
Müncheni kódex, 1466	1466	Jn	1	236.51340154877852	2.4149852453620064	0.4885964912280702	704	0.546875	172.60635763536092	3.1568022356837355	0.42087470948658356	718	0.46518105849582175
Müncheni kódex, 1466	1466	Jn	2	144.02674576397894	2.2394340859505455	0.5517805976258698	367	0.6212534059945504	109.10076482847155	2.961873163097087	0.47856586126266565	389	0.5295629820051414
Müncheni kódex, 1466	1466	Jn	3	201.178630975353	2.3961477267449975	0.49918389553862896	558	0.5716845878136201	164.30516931897498	2.7382051755264407	0.42088523721176785	566	0.4876325088339223
Müncheni kódex, 1466	1466	Jn	4	248.6019209795221	2.8740819730969185	0.48005963473723445	840	0.544047619047619	195.10137777460568	3.467652297139949	0.4243535668439391	858	0.46153846153846156
Müncheni kódex, 1466	1466	Jn	5	230.73275926807386	2.65248630703238	0.4682785699524695	723	0.5325034578146611	186.94021273247137	3.1513868680922514	0.4099492385786802	739	0.462787550744249
