file_name	work	translation	year	description	analysis_original	analysis_normalised	type	book	chapter	bigram_entropy	bigram_perplexity	wc	type_count	type_token_ratio	mdl_over_dl	chapter_diff	period
MunchK_b.tsv	Müncheni kódex, 1466	MunchK	1466	Müncheni kódex, Keletkezési idő: 1466, Forrás: Ómagyar korpusz, Bibliai részek: Máté evangéliuma, Márk evangéliuma, Lukács evangéliuma, János evangéliuma, Szövegtípus: betűhű, normalizált	TRUE	FALSE	facsimile	Mt	25	9.111929631655682	553.3044174202527	725	390	0.5379310344827586	0.46709129511677283	0.6181818181818182	mediaeval / early modern
MunchK_b.tsv	Müncheni kódex, 1466	MunchK	1466	Müncheni kódex, Keletkezési idő: 1466, Forrás: Ómagyar korpusz, Bibliai részek: Máté evangéliuma, Márk evangéliuma, Lukács evangéliuma, János evangéliuma, Szövegtípus: betűhű, normalizált	TRUE	FALSE	facsimile	Mt	26	9.81445013756737	900.4174072128612	1161	621	0.5348837209302325	0.49004248539564527	0.6440677966101696	mediaeval / early modern
MunchK_b.tsv	Müncheni kódex, 1466	MunchK	1466	Müncheni kódex, Keletkezési idő: 1466, Forrás: Ómagyar korpusz, Bibliai részek: Máté evangéliuma, Márk evangéliuma, Lukács evangéliuma, János evangéliuma, Szövegtípus: betűhű, normalizált	TRUE	FALSE	facsimile	Mt	27	9.65878274634802	808.3200069112202	1000	571	0.571	0.49802731411229134	0.6612903225806452	mediaeval / early modern
MunchK_b.tsv	Müncheni kódex, 1466	MunchK	1466	Müncheni kódex, Keletkezési idő: 1466, Forrás: Ómagyar korpusz, Bibliai részek: Máté evangéliuma, Márk evangéliuma, Lukács evangéliuma, János evangéliuma, Szövegtípus: betűhű, normalizált	TRUE	FALSE	facsimile	Mt	28	8.030281878329472	261.4301782481582	297	211	0.7104377104377104	0.5820525532969757	0.6037735849056604	mediaeval / early modern
MunchK_b.tsv	Müncheni kódex, 1466	MunchK	1466	Müncheni kódex, Keletkezési idő: 1466, Forrás: Ómagyar korpusz, Bibliai részek: Máté evangéliuma, Márk evangéliuma, Lukács evangéliuma, János evangéliuma, Szövegtípus: betűhű, normalizált	TRUE	FALSE	facsimile	Mk	1	8.762195684554612	434.19391117765764	707	459	0.6492220650636492	0.523083099156965	0.6451612903225806	mediaeval / early modern
MunchK_b.tsv	Müncheni kódex, 1466	MunchK	1466	Müncheni kódex, Keletkezési idő: 1466, Forrás: Ómagyar korpusz, Bibliai részek: Máté evangéliuma, Márk evangéliuma, Lukács evangéliuma, János evangéliuma, Szövegtípus: betűhű, normalizált	TRUE	FALSE	facsimile	Mk	2	8.686455347426783	411.98709791905713	502	306	0.6095617529880478	0.5220610922554767	0.6379310344827587	mediaeval / early modern
MunchK_b.tsv	Müncheni kódex, 1466	MunchK	1466	Müncheni kódex, Keletkezési idő: 1466, Forrás: Ómagyar korpusz, Bibliai részek: Máté evangéliuma, Márk evangéliuma, Lukács evangéliuma, János evangéliuma, Szövegtípus: betűhű, normalizált	TRUE	FALSE	facsimile	Mk	3	8.622337283851927	394.07796803679304	464	300	0.646551724137931	0.5450296042380804	0.5925925925925926	mediaeval / early modern
MunchK_b.tsv	Müncheni kódex, 1466	MunchK	1466	Müncheni kódex, Keletkezési idő: 1466, Forrás: Ómagyar korpusz, Bibliai részek: Máté evangéliuma, Márk evangéliuma, Lukács evangéliuma, János evangéliuma, Szövegtípus: betűhű, normalizált	TRUE	FALSE	facsimile	Mk	4	8.930837298703143	488.0338136092982	609	368	0.6042692939244664	0.5045555281950258	0.631578947368421	mediaeval / early modern
MunchK_b.tsv	Müncheni kódex, 1466	MunchK	1466	Müncheni kódex, Keletkezési idő: 1466, Forrás: Ómagyar korpusz, Bibliai részek: Máté evangéliuma, Márk evangéliuma, Lukács evangéliuma, János evangéliuma, Szövegtípus: betűhű, normalizált	TRUE	FALSE	facsimile	Mk	5	9.078518750295085	540.6378658070826	639	379	0.593114241001565	0.5090185055048021	0.6	mediaeval / early modern
MunchK_b.tsv	Müncheni kódex, 1466	MunchK	1466	Müncheni kódex, Keletkezési idő: 1466, Forrás: Ómagyar korpusz, Bibliai részek: Máté evangéliuma, Márk evangéliuma, Lukács evangéliuma, János evangéliuma, Szövegtípus: betűhű, normalizált	TRUE	FALSE	facsimile	Mk	6	9.45022680041512	699.5225720080167	888	516	0.581081081081081	0.5010036801605888	0.65	mediaeval / early modern
MunchK_b.tsv	Müncheni kódex, 1466	MunchK	1466	Müncheni kódex, Keletkezési idő: 1466, Forrás: Ómagyar korpusz, Bibliai részek: Máté evangéliuma, Márk evangéliuma, Lukács evangéliuma, János evangéliuma, Szövegtípus: betűhű, normalizált	TRUE	FALSE	facsimile	Mk	7	8.857523687757169	463.85294397833474	558	360	0.6451612903225806	0.5279471544715447	0.631578947368421	mediaeval / early modern
MunchK_b.tsv	Müncheni kódex, 1466	MunchK	1466	Müncheni kódex, Keletkezési idő: 1466, Forrás: Ómagyar korpusz, Bibliai részek: Máté evangéliuma, Márk evangéliuma, Lukács evangéliuma, János evangéliuma, Szövegtípus: betűhű, normalizált	TRUE	FALSE	facsimile	Mk	8	8.933050084050569	488.7829273466113	568	362	0.6373239436619719	0.5210788164440953	0.631578947368421	mediaeval / early modern
